Species,Nb,Loci Count,Individual Count,P Value,Cycles,Decline,Power Value,Power Percent
bullT,50,100,100,0.05,10,0,921,0.921
bullT,50,100,100,0.15,10,0,808,0.808
bullT,50,100,100,0.1,10,0,859,0.859
bullT,50,100,100,0.05,5,0,933,0.933
bullT,50,100,100,0.15,5,0,829,0.829
bullT,50,100,100,0.1,5,0,880,0.88
bullT,50,100,100,0.05,7,0,933,0.933
bullT,50,100,100,0.15,7,0,809,0.809
bullT,50,100,100,0.1,7,0,873,0.873
bullT,50,100,25,0.05,10,0,955,0.955
bullT,50,100,25,0.15,10,0,859,0.859
bullT,50,100,25,0.1,10,0,912,0.912
bullT,50,100,25,0.05,5,0,954,0.954
bullT,50,100,25,0.15,5,0,864,0.864
bullT,50,100,25,0.1,5,0,910,0.91
bullT,50,100,25,0.05,7,0,944,0.944
bullT,50,100,25,0.15,7,0,845,0.845
bullT,50,100,25,0.1,7,0,895,0.895
bullT,50,100,50,0.05,10,0,944,0.944
bullT,50,100,50,0.15,10,0,841,0.841
bullT,50,100,50,0.1,10,0,886,0.886
bullT,50,100,50,0.05,5,0,960,0.96
bullT,50,100,50,0.15,5,0,853,0.853
bullT,50,100,50,0.1,5,0,905,0.905
bullT,50,100,50,0.05,7,0,952,0.952
bullT,50,100,50,0.15,7,0,845,0.845
bullT,50,100,50,0.1,7,0,898,0.898
bullT,50,100,100,0.05,10,10,998,0.998
bullT,50,100,100,0.15,10,10,1000,1.0
bullT,50,100,100,0.1,10,10,1000,1.0
bullT,50,100,100,0.05,5,10,344,0.344
bullT,50,100,100,0.15,5,10,631,0.631
bullT,50,100,100,0.1,5,10,509,0.509
bullT,50,100,100,0.05,7,10,836,0.836
bullT,50,100,100,0.15,7,10,962,0.962
bullT,50,100,100,0.1,7,10,936,0.936
bullT,50,100,25,0.05,10,10,544,0.544
bullT,50,100,25,0.15,10,10,791,0.791
bullT,50,100,25,0.1,10,10,705,0.705
bullT,50,100,25,0.05,5,10,66,0.066
bullT,50,100,25,0.15,5,10,209,0.209
bullT,50,100,25,0.1,5,10,143,0.143
bullT,50,100,25,0.05,7,10,186,0.186
bullT,50,100,25,0.15,7,10,397,0.397
bullT,50,100,25,0.1,7,10,317,0.317
bullT,50,100,50,0.05,10,10,956,0.956
bullT,50,100,50,0.15,10,10,997,0.997
bullT,50,100,50,0.1,10,10,990,0.99
bullT,50,100,50,0.05,5,10,159,0.159
bullT,50,100,50,0.15,5,10,402,0.402
bullT,50,100,50,0.1,5,10,296,0.296
bullT,50,100,50,0.05,7,10,480,0.48
bullT,50,100,50,0.15,7,10,750,0.75
bullT,50,100,50,0.1,7,10,652,0.652
bullT,50,100,100,0.05,10,15,1000,1.0
